Country,Operator,Band,freqStart,freqEnd
Uganda,UTL,900,880,885
Uganda,UTL,900,925,930
Uganda,WARID,900,885,890
Uganda,WARID,900,930,935
Uganda,Airtel,900,890.2,898.0
Uganda,Airtel,900,935.2,943.0
Uganda,Africell,900,898.2,903.2
Uganda,Africell,900,943.2,948.2
Uganda,iTEL,900,903.2,906.4
Uganda,iTEL,900,948.2,951.4
Uganda,MTN,900,906.6,914.8
Uganda,MTN,900,951.6,959.8
Botswana,BeMobile,900,906.6,910.6
Botswana,BeMobile,900,951.6,955.6
Botswana,Government,900,911,914.8
Botswana,Government,900,956,959.8
Botswana,Mascom,900,890.2,898.2
Botswana,Mascom,900,935,943
Botswana,Orange,900,898.4,906.2
Botswana,Orange,900,943.4,951.2
Burkina Faso,Onatel,900,890.2,898.3
Burkina Faso,Onatel,900,935.2,943.3
Burkina Faso,Orange,900,898.3,906.6
Burkina Faso,Orange,900,943.3,951.6
Burkina Faso,Telecel,900,906.6,914.8
Burkina Faso,Telecel,900,951.6,959.8
Egypt,Etisalat,900,902.5,915
Egypt,Etisalat,900,947.5,960
Egypt,Orange,900,890,902.5
Egypt,Orange,900,935,947.5
Egypt,Vodafone,900,880,890
Egypt,Vodafone,900,925,935
Ghana,Airtel,900,885,890
Ghana,Airtel,900,930,935
Ghana,Glo,900,880,885
Ghana,Glo,900,925,930
Ghana,MTN,900,907,915
Ghana,MTN,900,952,960
Ghana,Tigo,900,890,898
Ghana,Tigo,900,935,943
Ghana,Vodafone,900,898,907
Ghana,Vodafone,900,943,952
Kenya,Airtel,900,905,915
Kenya,Airtel,900,950,960
Kenya,Orange,900,880,882.5
Kenya,Orange,900,900,905
Kenya,Orange,900,925,927.5
Kenya,Orange,900,945,950
Kenya,Safaricom,900,890,900
Kenya,Safaricom,900,935,945
Kenya,Yu,900,882.5,890
Kenya,Yu,900,927.5,935
Namibia,MTC,900,890,903
Namibia,MTC,900,935,948
Namibia,Telecom Namibia,900,905,915
Namibia,Telecom Namibia,900,950,960
South Africa,CellC,900,880.1,889.9
South Africa,CellC,900,903.7,905.9
South Africa,CellC,900,925.1,934.9
South Africa,CellC,900,948.7,950.9
South Africa,MTN,900,901.3,903.7
South Africa,MTN,900,905.9,914.7
South Africa,MTN,900,946.3,948.7
South Africa,MTN,900,950.9,959.7
South Africa,Vodacom,900,889.9,901.3
South Africa,Vodacom,900,934.9,946.3
